Date,Open,High,Low,Close,Adj Close,Volume,20_SMA,50_SMA,TP,std,MA-TP,BOLU,BOLD,Supertrend,Final Lowerband,Final Upperband
2017-11-09,308.6449890136719,329.4519958496094,307.0559997558594,320.8840026855469,320.8840026855469,893249984,320.8840026855469,320.8840026855469,319.1306660970052,,,,,True,,
2017-11-10,320.6709899902344,324.7179870605469,294.5419921875,299.25299072265625,299.25299072265625,885985984,310.06849670410156,310.06849670410156,306.1709899902344,,,,,True,,
2017-11-11,298.58599853515625,319.4530029296875,298.1919860839844,314.6809997558594,314.6809997558594,842300992,311.6059977213542,311.6059977213542,310.77532958984375,,,,,True,,
2017-11-12,314.69000244140625,319.15301513671875,298.51300048828125,307.9079895019531,307.9079895019531,1613479936,310.6814956665039,310.6814956665039,308.52466837565106,,,,,True,,
2017-11-13,307.0249938964844,328.4150085449219,307.0249938964844,316.71600341796875,316.71600341796875,1041889984,311.8883972167969,311.8883972167969,317.3853352864583,,,,,True,,
2017-11-14,316.76300048828125,340.177001953125,316.76300048828125,337.6310119628906,337.6310119628906,1069680000,316.1788330078125,316.1788330078125,331.52367146809894,,,,,True,,
2017-11-15,337.9639892578125,340.9119873046875,329.81298828125,333.35699462890625,333.35699462890625,722665984,318.6328560965402,318.6328560965402,334.69399007161456,,,,,True,,
2017-11-16,333.4429931640625,336.15899658203125,323.6059875488281,330.92401123046875,330.92401123046875,797254016,320.16925048828125,320.16925048828125,330.2296651204427,,,,,True,,
2017-11-17,330.1669921875,334.9639892578125,327.52301025390625,332.3940124511719,332.3940124511719,621732992,321.5275573730469,321.5275573730469,331.6270039876302,,,,,True,,
2017-11-18,331.9800109863281,349.6159973144531,327.68701171875,347.61199951171875,347.61199951171875,649638976,324.13600158691406,324.13600158691406,341.6383361816406,,,,,True,284.43275682269933,
2017-11-19,347.4010009765625,371.2909851074219,344.739990234375,354.385986328125,354.385986328125,1181529984,326.88600019975144,326.88600019975144,356.80565388997394,,,,,True,300.09014865099925,
2017-11-20,354.093994140625,372.1369934082031,353.28900146484375,366.7300109863281,366.7300109863281,807027008,330.2063344319661,330.2063344319661,364.052001953125,,,,,True,304.9801639976158,
2017-11-21,367.4429931640625,372.4700012207031,350.6929931640625,360.4010009765625,360.4010009765625,949912000,332.5290010892428,332.5290010892428,361.18799845377606,,,,,True,304.9801639976158,
2017-11-22,360.31201171875,381.4200134277344,360.1470031738281,380.6520080566406,380.6520080566406,800819008,335.96635872977123,335.96635872977123,374.07300821940106,,,,,True,311.37484090836796,
2017-11-23,381.4389953613281,425.5480041503906,376.0880126953125,410.1659851074219,410.1659851074219,1845680000,340.9130004882812,340.9130004882812,403.9340006510417,,,,,True,330.2054229571514,
2017-11-24,412.5010070800781,480.9729919433594,402.75799560546875,474.9110107421875,474.9110107421875,2292829952,349.2878761291504,349.2878761291504,452.8806660970052,,,,,True,351.1187718126945,
2017-11-25,475.6759948730469,485.1919860839844,461.0530090332031,466.2760009765625,466.2760009765625,1422080000,356.16953053193936,356.16953053193936,470.84033203125,,,,,True,384.57562807225577,
2017-11-26,465.9739990234375,472.7229919433594,451.6059875488281,471.3299865722656,471.3299865722656,1197779968,362.5673336452908,362.5673336452908,465.2196553548177,,,,,True,384.57562807225577,
2017-11-27,471.531005859375,493.4049987792969,468.4849853515625,480.3550109863281,480.3550109863281,1396480000,368.76668508429276,368.76668508429276,480.7483317057292,,,,,True,396.61392495469795,
2017-11-28,480.51800537109375,482.4800109863281,466.34698486328125,472.9020080566406,472.9020080566406,1346499968,373.9734512329102,373.9734512329102,473.90966796875,60.77101256998942,371.7675486246745,493.30957376465335,250.22552348469563,True,396.61392495469795,
2017-11-29,473.281005859375,522.3070068359375,425.0710144042969,427.52301025390625,427.52301025390625,2675940096,379.30540161132814,376.52343023390995,458.3003438313802,62.29413803065894,378.72603251139327,503.3143085727112,254.1377564500754,True,396.61392495469795,
2017-11-30,431.2149963378906,465.49700927734375,401.2430114746094,447.114013671875,447.114013671875,1903040000,386.6984527587891,379.7320931174538,437.9513448079427,61.231647448536926,385.31505025227864,507.7783451493525,262.8517553552048,True,396.61392495469795,
2017-12-01,445.2090148925781,472.6090087890625,428.31201171875,466.5400085449219,466.5400085449219,1247879936,394.29140319824216,383.50635030995244,455.8203430175781,60.559564290338386,392.56730092366536,513.6864295043422,271.4481723429886,True,396.61392495469795,
2017-12-02,466.85101318359375,476.239013671875,456.65301513671875,463.4490051269531,463.4490051269531,943649984,402.0684539794922,386.8372942606608,465.44701131184894,59.31537471674111,400.41341807047525,519.0441675039575,281.78266863699304,True,396.61392495469795,
2017-12-03,463.7049865722656,482.8139953613281,451.85198974609375,465.8529968261719,465.8529968261719,990556992,409.52530364990236,389.99792236328125,466.83966064453125,57.778987079670294,407.8861343383789,523.4441084977195,292.3281601790383,True,396.61392495469795,
2017-12-04,466.0539855957031,474.7770080566406,453.31201171875,470.2040100097656,470.2040100097656,1005550016,416.1539535522461,393.08277188814606,466.09767659505206,56.31166696722103,414.6148345947266,527.2381685291687,301.9915006602845,True,396.61392495469795,
2017-12-05,470.29400634765625,473.5580139160156,457.6600036621094,463.281005859375,463.281005859375,1216720000,422.65015411376953,395.682706479673,464.8330078125,54.17923590623024,421.1217854817708,529.4802572942313,312.7633136693103,True,396.61392495469795,
2017-12-06,462.60400390625,462.7080078125,420.2099914550781,428.5880126953125,428.5880126953125,1998259968,427.5333541870117,396.85789598737443,437.1686706542969,50.066016169849455,426.4687357584636,526.6007680981625,326.33670341876467,True,396.61392495469795,
2017-12-07,426.3689880371094,441.3970031738281,414.4110107421875,434.4079895019531,434.4079895019531,2129570048,432.6340530395508,398.152726798222,430.07200113932294,45.09189398622379,431.39098561604817,521.5747735884958,341.2071976436006,True,396.61392495469795,
2017-12-08,434.989013671875,466.06201171875,422.36700439453125,456.031005859375,456.031005859375,2336379904,438.0550033569336,400.0820027669271,448.15334065755206,40.2018309423921,436.71673583984375,517.120397724628,356.31307395505956,True,396.61392495469795,
2017-12-09,457.343994140625,504.1470031738281,456.25299072265625,473.50201416015625,473.50201416015625,2003849984,444.0108047485352,402.4503902312248,477.9673360188802,36.678036723855676,442.7748199462891,516.1308933940004,369.4187464985777,True,396.61392495469795,
2017-12-10,472.78900146484375,472.78900146484375,429.5140075683594,441.72100830078125,441.72100830078125,1404179968,447.76035461425784,403.67759704589844,448.0080057779948,31.924317683062835,446.9726201375326,510.8212555036583,383.1239847714069,True,396.61392495469795,
2017-12-11,440.3580017089844,516.968994140625,439.10400390625,515.135986328125,515.135986328125,1771440000,455.4971038818359,407.0551239938447,490.4029947916667,26.528863104009517,453.43336995442706,506.49109616244607,400.37564374640806,True,396.61392495469795,
2017-12-12,522.2860107421875,657.3179931640625,504.4939880371094,651.4310302734375,651.4310302734375,5179829760,469.03605499267576,414.24265064912686,604.4143371582031,37.363043642103364,464.9504364013672,539.6765236855739,390.2243491171605,True,424.36696110575724,
2017-12-13,644.906005859375,747.9929809570312,597.7979736328125,702.7670288085938,702.7670288085938,4524539904,483.6661071777344,422.4862043108259,682.8526611328125,58.218782947184174,478.89636942545576,595.3339353198241,362.4588035310874,True,486.19690838106237,
2017-12-14,700.593994140625,753.1209716796875,664.989013671875,695.8159790039062,695.8159790039062,3821580032,494.7113555908203,430.07869805230035,704.6419881184896,75.79696997016217,491.48443552653,643.0783754668544,339.89049558620565,True,514.4076194106335,
2017-12-15,696.3759765625,697.1320190429688,621.0609741210938,684.447998046875,684.447998046875,2758710016,505.6199554443359,436.9535439980997,667.5469970703125,84.71740792123192,501.3197687784831,670.754584620947,331.8849529360192,True,514.4076194106335,
2017-12-16,686.1920166015625,718.385009765625,680.7860107421875,696.208984375,696.208984375,2165690112,516.8639053344726,443.77605558696547,698.4600016276041,94.4409297815253,512.9817860921223,701.863645655173,324.0999265290717,True,514.4076194106335,
2017-12-17,696.2369995117188,735.8250122070312,696.2369995117188,719.9749755859375,719.9749755859375,2147389952,528.8449035644531,450.8580791766827,717.3456624348959,103.99722782044151,524.8116526285808,732.8061082694637,316.81719698769774,True,533.8154388278964,
2017-12-18,721.7319946289062,803.927978515625,689.2310180664062,794.64501953125,794.64501953125,3249230080,544.9320541381836,459.4527526855469,762.6013387044271,115.34605468130853,539.2462361653646,769.9383455279817,308.55412680274753,True,547.9335442001114,
2017-12-19,793.9010009765625,881.9439697265625,785.3419799804688,826.822998046875,826.822998046875,4096549888,564.897053527832,468.4130025724085,831.3696492513021,129.9844341192005,557.8997014363606,817.8685696747616,297.9308331979596,True,625.7581159949841,
2017-12-20,827.5159912109375,845.06201171875,756.0040283203125,819.0859985351562,819.0859985351562,3969939968,583.4956527709961,476.7623596191406,806.7173461914062,137.59401443386776,576.3380015055338,851.5260303732694,301.1499726377983,True,625.7581159949841,
2017-12-21,820.2360229492188,880.5430297851562,792.6890258789062,821.06298828125,821.06298828125,3569060096,601.2218017578125,484.7693509833757,831.4316813151041,145.281853952762,595.1185684204102,885.6822763259341,304.5548605148862,True,625.7581159949841,
2017-12-22,822.6430053710938,827.6829833984375,543.7620239257812,674.8599853515625,674.8599853515625,4977710080,611.792350769043,489.0895926735618,682.1016642252604,143.27259438923042,605.9513010660808,892.4964898445417,319.4061122876199,True,625.7581159949841,
2017-12-23,681.3159790039062,763.89501953125,679.7310180664062,719.3870239257812,719.3870239257812,2480339968,624.4690521240234,494.20731336805557,721.0043538411459,141.63260534727164,618.6595357259115,901.9247464204548,335.3943250313682,True,625.7581159949841,
2017-12-24,721.7689819335938,721.7689819335938,614.9219970703125,694.1480102539062,694.1480102539062,2300549888,635.6662521362305,498.5538502568784,676.9463297526041,137.67629965223648,629.2019683837891,904.5545676882621,353.84936907931615,True,625.7581159949841,
2017-12-25,698.8699951171875,782.52099609375,698.8699951171875,765.833984375,765.833984375,2491760128,650.7939010620117,504.24066162109375,749.0749918619791,134.61203159494062,643.414067586263,912.6381307761442,374.1900043963817,True,625.7581159949841,
