Datetime,Open,High,Low,Close,Adj Close,Volume,Supertrend,Final Lowerband,Final Upperband,20_SMA,50_SMA,TP,std,MA-TP,BOLU,BOLD
2022-03-12 00:00:00+00:00,2559.66064453125,2559.66064453125,2559.66064453125,2559.66064453125,2559.66064453125,0,True,,,2559.66064453125,2559.66064453125,2559.66064453125,,,,
2022-03-12 00:01:00+00:00,2559.17822265625,2559.17822265625,2559.17822265625,2559.17822265625,2559.17822265625,0,True,,,2559.41943359375,2559.41943359375,2559.17822265625,,,,
2022-03-12 00:02:00+00:00,2559.126953125,2559.126953125,2559.126953125,2559.126953125,2559.126953125,0,True,,,2559.3219401041665,2559.3219401041665,2559.126953125,,,,
2022-03-12 00:03:00+00:00,2559.920166015625,2559.920166015625,2559.920166015625,2559.920166015625,2559.920166015625,0,True,,,2559.4714965820312,2559.4714965820312,2559.920166015625,,,,
2022-03-12 00:04:00+00:00,2560.9833984375,2560.9833984375,2560.9833984375,2560.9833984375,2560.9833984375,0,True,,,2559.773876953125,2559.773876953125,2560.9833984375,,,,
2022-03-12 00:05:00+00:00,2560.365234375,2560.365234375,2560.365234375,2560.365234375,2560.365234375,0,True,,,2559.8724365234375,2559.8724365234375,2560.365234375,,,,
2022-03-12 00:06:00+00:00,2560.81884765625,2560.81884765625,2560.81884765625,2560.81884765625,2560.81884765625,1344512,True,,,2560.007638113839,2560.007638113839,2560.81884765625,,,,
2022-03-12 00:07:00+00:00,2561.222900390625,2561.222900390625,2561.222900390625,2561.222900390625,2561.222900390625,0,True,,,2560.1595458984375,2560.1595458984375,2561.222900390625,,,,
2022-03-12 00:08:00+00:00,2562.046630859375,2562.046630859375,2562.046630859375,2562.046630859375,2562.046630859375,3687424,True,,,2560.3692220052085,2560.3692220052085,2562.046630859375,,,,
2022-03-12 00:09:00+00:00,2562.411376953125,2562.411376953125,2562.411376953125,2562.411376953125,2562.411376953125,9929728,True,2560.821742529475,,2560.5734375,2560.5734375,2562.411376953125,,,,
2022-03-12 00:10:00+00:00,2563.16845703125,2563.16845703125,2563.16845703125,2563.16845703125,2563.16845703125,0,True,2561.4794905854437,,2560.8093483664775,2560.8093483664775,2563.16845703125,,,,
2022-03-12 00:11:00+00:00,2562.796875,2562.796875,2562.796875,2562.796875,2562.796875,9094144,True,2561.4794905854437,,2560.9749755859375,2560.9749755859375,2562.796875,,,,
2022-03-12 00:12:00+00:00,2562.44970703125,2562.44970703125,2562.44970703125,2562.44970703125,2562.44970703125,0,True,2561.4794905854437,,2561.088416466346,2561.088416466346,2562.44970703125,,,,
2022-03-12 00:13:00+00:00,2561.72900390625,2561.72900390625,2561.72900390625,2561.72900390625,2561.72900390625,0,True,2561.4794905854437,,2561.1341727120534,2561.1341727120534,2561.72900390625,,,,
2022-03-12 00:14:00+00:00,2561.969482421875,2561.969482421875,2561.969482421875,2561.969482421875,2561.969482421875,0,True,2561.4794905854437,,2561.1898600260415,2561.1898600260415,2561.969482421875,,,,
2022-03-12 00:15:00+00:00,2562.75439453125,2562.75439453125,2562.75439453125,2562.75439453125,2562.75439453125,4527104,True,2561.4794905854437,,2561.287643432617,2561.287643432617,2562.75439453125,,,,
2022-03-12 00:16:00+00:00,2564.130615234375,2564.130615234375,2564.130615234375,2564.130615234375,2564.130615234375,0,True,2562.221272400147,,2561.454877068015,2561.454877068015,2564.130615234375,,,,
2022-03-12 00:17:00+00:00,2564.157470703125,2564.157470703125,2564.157470703125,2564.157470703125,2564.157470703125,4951040,True,2562.463301993444,,2561.605021158854,2561.605021158854,2564.157470703125,,,,
2022-03-12 00:18:00+00:00,2564.123291015625,2564.123291015625,2564.123291015625,2564.123291015625,2564.123291015625,111616,True,2562.6131438529483,,2561.7375616776317,2561.7375616776317,2564.123291015625,,,,
2022-03-12 00:19:00+00:00,2563.736572265625,2563.736572265625,2563.736572265625,2563.736572265625,2563.736572265625,0,True,2562.6131438529483,,2561.837512207031,2561.837512207031,2563.736572265625,1.5957394738883217,2561.837512207031,2565.0289911548075,2558.6460332592546
2022-03-12 00:20:00+00:00,2563.90771484375,2563.90771484375,2563.90771484375,2563.90771484375,2563.90771484375,3433472,True,2562.6131438529483,,2562.0498657226562,2561.9360932849704,2563.90771484375,1.574369637946476,2562.0498657226562,2565.1986049985494,2558.901126446763
2022-03-12 00:21:00+00:00,2563.92626953125,2563.92626953125,2563.92626953125,2563.92626953125,2563.92626953125,0,True,2562.708408143713,,2562.2872680664063,2562.0265558416195,2563.92626953125,1.4785153877024013,2562.2872680664063,2565.244298841811,2559.3302372910016
2022-03-12 00:22:00+00:00,2564.309814453125,2564.309814453125,2564.309814453125,2564.309814453125,2564.309814453125,0,True,2563.0993294962655,,2562.5464111328124,2562.125827955163,2564.309814453125,1.3505583255394078,2562.5464111328124,2565.247527783891,2559.8452944817336
2022-03-12 00:23:00+00:00,2565.335205078125,2565.335205078125,2565.335205078125,2565.335205078125,2565.335205078125,6490112,True,2563.9219795339327,,2562.8171630859374,2562.259552001953,2565.335205078125,1.339668460200362,2562.8171630859374,2565.496500006338,2560.137826165537
2022-03-12 00:24:00+00:00,2566.074951171875,2566.074951171875,2566.074951171875,2566.074951171875,2566.074951171875,11024384,True,2564.5748904759043,,2563.071740722656,2562.41216796875,2566.074951171875,1.446522150362378,2563.071740722656,2565.964785023381,2560.1786964219314
2022-03-12 00:25:00+00:00,2567.719482421875,2567.719482421875,2567.719482421875,2567.719482421875,2567.719482421875,0,True,2565.852351727301,,2563.439453125,2562.6162954477163,2567.719482421875,1.6343286803115498,2563.439453125,2566.708110485623,2560.170795764377
2022-03-12 00:26:00+00:00,2567.623779296875,2567.623779296875,2567.623779296875,2567.623779296875,2567.623779296875,5120000,True,2565.924405769406,,2563.7796997070313,2562.8017578125,2567.623779296875,1.7570751615097286,2563.7796997070313,2567.2938500300506,2560.265549384012
2022-03-12 00:27:00+00:00,2567.67626953125,2567.67626953125,2567.67626953125,2567.67626953125,2567.67626953125,1831936,True,2566.139601436526,,2564.1023681640627,2562.975847516741,2567.67626953125,1.8481071052736529,2564.1023681640627,2567.79858237461,2560.4061539535155
